2022,2022-04-26,3,Estádio Aderbal Ramos da Silva,Antonio Dib Moraes de Sousa,5883,17800,Avaí FC,Goiás,Eduardo Barroca,Jair Ventura,14,17,5980000,6900000,29.1,28.2,3,2,1,0,3,5,20,20,16,20,3,1,0,3,14,18,6,4
2022,2022-04-24,3,Estádio Alfredo Jaconi ,Paulo Roberto Alves Júnior,3920,23726,Juventude,Cuiabá-MT,Eduardo Baptista,Pintado,16,11,7800000,8500000,28.2,30.1,0,1,0,0,6,7,18,19,19,15,3,2,2,1,13,10,8,4
2022,2022-04-24,3,Arena Barueri,Anderson Daronco,23973,43600,Palmeiras,Corinthians,Abel Ferreira,Vítor Pereira,15,1,91000000,43800000,27.2,25.3,3,0,2,0,12,3,13,13,13,13,1,4,3,0,20,7,9,3
2022,2022-04-24,3,Estádio Jornalista Mário Filho,Braulio da Silva Machado,16176,82238,Fluminense,Internacional,Abel Braga,Cauan Almeida,6,13,28250000,37300000,29.3,29,0,1,0,0,5,4,15,12,12,14,4,2,4,2,12,12,4,4
2022,2022-04-23,3,Arena da Baixada,Raphael Claus,22659,42372,Athletico-PR,Flamengo,Fábio Carille,Paulo Sousa,20,4,26250000,72500000,24.7,26.9,1,0,1,0,6,5,15,10,9,15,6,1,2,1,10,11,5,3
2022,2022-04-24,3,Estádio Antonio Accioly,Luiz Flávio de Oliveira ,4427,13000,Atlético-GO,Botafogo,Umberto Louzer,Luís Castro,18,10,8550000,19980000,27.1,26.6,1,1,0,0,2,7,11,5,5,11,2,1,2,2,9,17,7,4
2022,2022-04-24,3,Estádio Raimundo Sampaio,Savio Pereira Sampaio,19974,23018,Atlético-MG,Coritiba FC,Antonio Mohamed,Gustavo Morínigo,2,8,42400000,6950000,30.5,27.8,2,2,2,0,3,3,10,8,8,9,2,3,0,0,20,11,12,5
2022,2022-04-23,3,Estádio Nabi Abi Chedid,Bruno Arleu de Araújo,8040,13212,RB Bragantino,São Paulo,Maurício Barbieri,Rogério Ceni,3,7,22550000,34800000,23.3,27.4,1,1,1,0,6,9,13,12,11,12,6,2,1,2,15,24,8,12
2022,2022-06-02,3,Estádio Governador Plácido Castelo,Braulio da Silva Machado,37372,60326,Fortaleza,Ceará SC,Juan Pablo Vojvoda,Dorival Júnior,19,12,11750000,9400000,28.7,29.7,0,1,0,1,4,1,18,18,17,16,6,3,0,2,11,19,6,7
2022,2022-05-01,4,Estádio Olímpico Nilton Santos,Braulio da Silva Machado,34734,46931,Botafogo,Juventude,Luís Castro,Eduardo Baptista,13,19,29780000,7400000,28.4,29,1,1,0,0,6,4,14,17,14,13,3,3,2,3,17,8,7,4
2022,2022-04-21,4,Estádio Jornalista Mário Filho,Wilton Sampaio,69997,78838,Flamengo,Palmeiras,Paulo Sousa,Abel Ferreira,12,11,83800000,88000000,28.4,28,0,0,0,0,9,6,15,21,21,14,2,2,1,1,17,10,9,3
2022,2022-04-30,4,Estádio Raimundo Sampaio,Jefferson Ferreira Moraes,2433,25000,América-MG,Athletico-PR,Vagner Mancini,Fábio Carille,15,16,9450000,21550000,30,24,1,0,0,0,6,11,19,12,12,18,5,2,4,3,7,13,4,5
2022,2022-05-01,4,Neo Química Arena ,Savio Pereira Sampaio,37018,49205,Corinthians,Fortaleza,Vítor Pereira,Juan Pablo Vojvoda,3,20,47600000,12400000,30,26.8,1,0,0,0,9,4,14,14,14,13,5,3,1,4,6,15,2,5
2022,2022-05-02,4,Estádio Beira-Rio,Wilton Sampaio,23823,56000,Internacional,Avaí FC,Mano Menezes,Eduardo Barroca,6,7,34300000,6000000,27.8,28.7,0,0,0,0,18,2,15,16,16,15,4,3,0,0,23,11,11,2
2022,2022-04-30,4,Estádio Serra Dourada,Bruno Arleu de Araújo,10165,14525,Goiás,Atlético-MG,Jair Ventura,Antonio Mohamed,18,2,8550000,72000000,28,28.6,2,2,0,1,0,10,21,15,14,20,3,0,0,2,7,21,3,11
2022,2022-04-30,4,Estádio Governador Plácido Castelo,Ramon Abatti,23211,60326,Ceará SC,RB Bragantino,Dorival Júnior,Maurício Barbieri,5,8,8800000,42000000,28.7,25.3,0,1,0,1,5,4,11,20,19,10,5,4,4,0,14,18,6,8
2022,2022-05-01,4,Arena Pantanal,Douglas Marques Flores,4517,42968,Cuiabá-MT,Atlético-GO,Pintado,Umberto Louzer,4,17,9200000,9100000,29.5,26.7,1,1,0,1,4,6,12,14,14,11,6,4,1,0,17,14,7,6
2022,2022-05-03,4,Estádio Cícero Pompeu de Toledo,Leandro Pedro Vuaden,36746,72039,São Paulo,Santos,Rogério Ceni,Fabián Bustos,9,1,30600000,26400000,27.5,25.9,2,1,1,1,2,4,15,8,7,15,2,2,2,0,10,8,5,3
